REGION,STATE,COUNTY,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG2020,NPOPCHG2021,BIRTHS2020,BIRTHS2021,DEATHS2020,DEATHS2021,NATURALCHG2020,NATURALCHG2021,INTERNATIONALMIG2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,RBIRTH2021,RDEATH2021,RNATURALCHG2021,RINTERNATIONALMIG2021,RDOMESTICMIG2021,RNETMIG2021
4,WASHINGTON,Pierce County,921130,922828,925708,1698,2880,2784,10690,2125,8582,659,2108,40,450,969,138,1009,588,11.56590946,9.285185682,2.280723773,0.486871773,0.149307344,0.636179117
4,WASHINGTON,San Juan County,17788,17818,18557,30,739,28,96,38,174,-10,-78,0,4,44,827,44,831,5.278350516,9.567010309,-4.288659794,0.219931272,45.47079038,45.69072165
4,WASHINGTON,Skagit County,129523,129852,130696,329,844,341,1340,339,1555,2,-215,17,131,318,921,335,1052,10.28601256,11.93638025,-1.650367687,1.00557287,7.069714602,8.075287471
4,WASHINGTON,Skamania County,12036,12034,12170,-2,136,19,80,24,126,-5,-46,0,6,4,179,4,185,6.610477607,10.41150223,-3.801024624,0.495785821,14.79094365,15.28672947
4,WASHINGTON,Snohomish County,827957,829331,833540,1374,4209,2381,9152,1768,7163,613,1989,87,886,647,1175,734,2061,11.00746841,8.615220303,2.392248106,1.065626859,1.413218464,2.478845322
4,WASHINGTON,Spokane County,539339,540700,546040,1361,5340,1517,5509,1452,5802,65,-293,-1,113,1295,5491,1294,5604,10.13857961,10.67780702,-0.539227414,0.207961426,10.10545301,10.31341443
4,WASHINGTON,Stevens County,46445,46566,47426,121,860,120,372,159,606,-39,-234,0,3,166,1107,166,1110,7.915567282,12.89471444,-4.979147161,0.06383522,23.55519619,23.61903141
4,WASHINGTON,Thurston County,294793,295729,297977,936,2248,758,2904,729,2818,29,86,0,65,912,2064,912,2129,9.78261968,9.492914001,0.289705679,0.218963595,6.952936302,7.171899897
4,WASHINGTON,Wahkiakum County,4422,4443,4582,21,139,6,28,11,55,-5,-27,0,1,27,166,27,167,6.20498615,12.18836565,-5.983379501,0.221606648,36.7867036,37.00831025
4,WASHINGTON,Walla Walla County,62584,62574,62682,-10,108,133,576,183,700,-50,-124,5,55,37,167,42,222,9.197164208,11.17710928,-1.979945072,0.878201443,2.666538928,3.544740372
4,WASHINGTON,Whatcom County,226847,227304,228831,457,1527,511,1934,501,2098,10,-164,11,156,441,1512,452,1668,8.47994563,9.199030989,-0.719085359,0.684008024,6.629616232,7.313624256
4,WASHINGTON,Whitman County,47973,47786,47873,-187,87,115,329,78,317,37,12,4,143,-233,-75,-229,68,6.878600027,6.627708841,0.250891186,2.989786638,-1.568069915,1.421716723
4,WASHINGTON,Yakima County,256728,256533,256035,-195,-498,894,3441,738,2647,156,794,33,264,-394,-1591,-361,-1327,13.42651121,10.3283857,3.098125517,1.030107225,-6.207956798,-5.177849573
3,WEST VIRGINIA,West Virginia,1793716,1789798,1782959,-3918,-6839,4383,17232,6995,27102,-2612,-9870,26,556,-1221,2343,-1195,2899,9.64633195,15.17147682,-5.525144867,0.31124423,1.31159214,1.62283637
3,WEST VIRGINIA,Barbour County,15465,15440,15468,-25,28,41,173,74,230,-33,-57,0,7,9,76,9,83,11.19451275,14.88287822,-3.688365472,0.452957163,4.917820629,5.370777792
3,WEST VIRGINIA,Berkeley County,122076,122654,126069,578,3415,360,1412,339,1313,21,99,4,27,549,3324,553,3351,11.35399621,10.55792991,0.796066307,0.217108993,26.72852933,26.94563832
3,WEST VIRGINIA,Boone County,21809,21714,21312,-95,-402,51,195,104,360,-53,-165,0,-1,-42,-233,-42,-234,9.06428671,16.73406777,-7.669781063,-0.046483522,-10.83066053,-10.87714405
3,WEST VIRGINIA,Braxton County,12447,12386,12247,-61,-139,23,107,55,217,-32,-110,0,3,-27,-33,-27,-30,8.687532984,17.61864166,-8.931108675,0.243575691,-2.679332603,-2.435756911
3,WEST VIRGINIA,Brooke County,22559,22469,22140,-90,-329,50,159,111,373,-61,-214,0,6,-27,-122,-27,-116,7.128606335,16.72308279,-9.594476451,0.269004013,-5.469748257,-5.200744244
3,WEST VIRGINIA,Cabell County,94350,94137,93418,-213,-719,242,994,401,1412,-159,-418,2,29,-51,-344,-49,-315,10.59955746,15.05691664,-4.457359175,0.309242622,-3.668257311,-3.359014689
3,WEST VIRGINIA,Calhoun County,6229,6199,6176,-30,-23,19,51,30,86,-11,-35,0,0,-18,13,-18,13,8.242424242,13.8989899,-5.656565657,0,2.101010101,2.101010101
3,WEST VIRGINIA,Clay County,8051,8006,7892,-45,-114,18,82,30,140,-12,-58,0,0,-33,-56,-33,-56,10.31576299,17.61227827,-7.296515285,0,-7.04491131,-7.04491131
3,WEST VIRGINIA,Doddridge County,7808,7786,7735,-22,-51,9,62,20,98,-11,-36,0,1,-10,-16,-10,-15,7.989175955,12.62805232,-4.638876361,0.128857677,-2.061722827,-1.93286515
3,WEST VIRGINIA,Fayette County,40488,40358,39927,-130,-431,97,404,188,791,-91,-387,0,7,-35,-57,-35,-50,10.06414648,19.70480164,-9.640655166,0.174378776,-1.419941459,-1.245562683
3,WEST VIRGINIA,Gilmer County,7408,7378,7377,-30,-1,15,55,31,87,-16,-32,0,3,-14,28,-14,31,7.455099966,11.79261267,-4.337512708,0.406641816,3.795323619,4.201965435
3,WEST VIRGINIA,Grant County,10976,10954,10983,-22,29,31,117,65,166,-34,-49,0,0,14,77,14,77,10.66690979,15.13424807,-4.467338287,0,7.020103022,7.020103022
