,SUMLEV,REGION,DIVISION,STATE,COUNTY,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG2020,NPOPCHG2021,BIRTHS2020,BIRTHS2021,DEATHS2020,DEATHS2021,NATURALCHG2020,NATURALCHG2021,INTERNATIONALMIG2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,RESIDUAL2020,RESIDUAL2021,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,RBIRTH2021,RDEATH2021,RNATURALCHG2021,RINTERNATIONALMIG2021,RDOMESTICMIG2021,RNETMIG2021,UID,code3,first_year_cases
NETMIG2020,-0.013766438736614645,0.06883678946599923,0.05075498383945325,0.022405638815497956,0.006643490320779522,-0.19170703244662896,-0.19008210856541183,-0.18120540496924314,0.9313645409123154,0.9525046878844717,-0.18069222262294823,-0.16908251754143075,-0.1342927176432849,-0.13558727701028236,-0.26574408168550306,-0.21748494635156387,0.3442088598173822,0.05251753897360429,0.9995781704357297,0.9580438875343334,1.0,0.9642057513261135,-0.11857938739365347,0.15105277648298562,-0.24204316097413034,-0.24204316097413034,-0.24204316097413034,-0.018039484376602,0.017152569000319293,-0.022942069207989906,-0.027766453134962465,0.15267753512028748,0.1524324553316079,0.019862424267599155,,-0.0012070921769987066
NETMIG2021,-0.046047951999005445,0.04147246331400449,0.022111902676023473,0.018773075435940898,0.002893777116158597,-0.2091716683891981,-0.20766711323419515,-0.19864239886397828,0.8623921322380315,0.9695118345382671,-0.20092958913731776,-0.19044220779986779,-0.1349019992093943,-0.138523106016806,-0.35078721214620284,-0.30141114269936525,0.35347381905532965,0.0312148307957747,0.9631313124672743,0.9957515277639847,0.9642057513261135,1.0,-0.20160584909039425,0.2737330343658967,-0.2504858769334712,-0.2504858769334712,-0.2504858769334712,-0.023285399441290124,0.02837019051441409,-0.034342788302600145,-0.03632179796186494,0.17728007677938096,0.17679677391636478,0.016926080025173852,,-0.007084083856589667
RESIDUAL2020,0.0022604610694105494,0.06934917312433181,0.08774703875436464,0.002644742285134031,0.01818039625639761,0.3229419112999541,0.3233421778401727,0.32387443334278354,0.22919047301513068,0.030989373967561604,0.37912595313508674,0.38341587428150237,0.18601002936190963,0.1956356285179826,0.9243976922008614,0.9379707278537904,-0.13749453160651853,0.1201059819061888,-0.11553881580259205,-0.21239394913459317,-0.11857938739365347,-0.20160584909039425,1.0,-0.046779489778413924,0.2457769285428373,0.2457769285428373,0.2457769285428373,0.07779797471834725,-0.10657628086223872,0.123691374051071,0.032396290808018945,-0.04663676977211356,-0.04539735249886002,-0.0011078249398687341,,0.005854674961589592
RESIDUAL2021,0.000587884671360759,-0.022350244286971507,-0.027698560738867624,0.0165968249943348,0.0011049298479880434,-0.2936985696054583,-0.2935591409808147,-0.29144155478157835,0.08009066694295283,0.24659628425858357,-0.2803972751383774,-0.28287337370950694,-0.2619158971907074,-0.269862107299745,-0.20736528648007418,-0.19271062557812205,-0.27516602135093987,-0.43474611853842793,0.16110907831561036,0.3134085965160272,0.15105277648298562,0.2737330343658967,-0.046779489778413924,1.0,-0.2795698911877396,-0.2795698911877396,-0.2795698911877396,0.0140824054693624,0.013194503533424506,-0.002271675332059331,-0.049101617766337334,0.01190936681908849,0.009604663560864353,0.017265268991766617,,-0.011478215550194295
GQESTIMATESBASE2020,-0.6373811529306471,-0.02599118923256761,-0.02019123544019238,-0.037110454671643,-0.08609552965146439,0.97944630038332,0.9793085635906541,0.9786378382100426,-0.07955087640263225,-0.14727759633286477,0.9735267935682828,0.9713827585835741,0.9774983025597321,0.978838395516647,0.45895734499796326,0.4543891785827355,0.5395023562234349,0.8063790058602238,-0.26120659806729696,-0.32443033247343356,-0.24204316097413034,-0.2504858769334712,0.2457769285428373,-0.2795698911877396,1.0,1.0,1.0,0.0176363069736219,-0.10641304324088281,0.09048106705159831,0.0966227624550376,-0.0703153465033846,-0.06612004142475345,-0.04184828314478559,,0.014557934446247154
GQESTIMATES2020,-0.6373811529306471,-0.02599118923256761,-0.02019123544019238,-0.037110454671643,-0.08609552965146439,0.97944630038332,0.9793085635906541,0.9786378382100426,-0.07955087640263225,-0.14727759633286477,0.9735267935682828,0.9713827585835741,0.9774983025597321,0.978838395516647,0.45895734499796326,0.4543891785827355,0.5395023562234349,0.8063790058602238,-0.26120659806729696,-0.32443033247343356,-0.24204316097413034,-0.2504858769334712,0.2457769285428373,-0.2795698911877396,1.0,1.0,1.0,0.0176363069736219,-0.10641304324088281,0.09048106705159831,0.0966227624550376,-0.0703153465033846,-0.06612004142475345,-0.04184828314478559,,0.014557934446247154
GQESTIMATES2021,-0.6373811529306471,-0.02599118923256761,-0.02019123544019238,-0.037110454671643,-0.08609552965146439,0.97944630038332,0.9793085635906541,0.9786378382100426,-0.07955087640263225,-0.14727759633286477,0.9735267935682828,0.9713827585835741,0.9774983025597321,0.978838395516647,0.45895734499796326,0.4543891785827355,0.5395023562234349,0.8063790058602238,-0.26120659806729696,-0.32443033247343356,-0.24204316097413034,-0.2504858769334712,0.2457769285428373,-0.2795698911877396,1.0,1.0,1.0,0.0176363069736219,-0.10641304324088281,0.09048106705159831,0.0966227624550376,-0.0703153465033846,-0.06612004142475345,-0.04184828314478559,,0.014557934446247154
RBIRTH2021,-0.01869232939483646,0.05092039718382077,0.10888452933498446,-0.03998714289458099,0.15007686286190244,0.02392660201479013,0.0239447472315871,0.023938224839880232,0.010384033220780972,-0.0025576703180722705,0.03508351873858383,0.03580076276044437,0.01958922876498399,0.019226402570351322,0.07643948466975733,0.08376569496166497,0.013806222636664511,0.02058630669194972,-0.018651015809032206,-0.025149963838119654,-0.018039484376602,-0.023285399441290124,0.07779797471834725,0.0140824054693624,0.0176363069736219,0.0176363069736219,0.0176363069736219,1.0,-0.14522507273268145,0.6602033540879683,0.08804309570885305,-0.36345706792818566,-0.36180507697446,-0.0520925824392138,,-0.05055627271288611
RDEATH2021,0.07502216712690248,-0.10052278068411759,-0.1086578382948658,-0.022529817402780043,0.01792283873826189,-0.11035343809945565,-0.11041123010953466,-0.1105308516758729,-0.033051454064117386,-0.004019254620798461,-0.11438852550927164,-0.11301444070447574,-0.09356386472107596,-0.0942543345925623,-0.13548435699347153,-0.1309356380284215,-0.08616658780011689,-0.10858370515706627,0.019993351865464894,0.03833460607118267,0.017152569000319293,0.02837019051441409,-0.10657628086223872,0.013194503533424506,-0.10641304324088281,-0.10641304324088281,-0.10641304324088281,-0.14522507273268145,1.0,-0.8390024410053158,-0.2672207126266052,0.058726040638137605,0.046139253422270744,-0.045449883871930365,,-0.019001151813836395
RNATURALCHG2021,-0.06723192986469627,0.10431441415652727,0.14236785464227264,-0.004888079819953376,0.06893011458693712,0.09693175553377255,0.09698560656361288,0.097072828411226,0.030801289218332934,0.0016445447549951787,0.10613076572516875,0.10548210424521155,0.08180083391324927,0.08212545443937228,0.14488938699978227,0.14546540395515917,0.07300489366580705,0.09375126775810617,-0.02543492279393298,-0.04293255450765375,-0.022942069207989906,-0.034342788302600145,0.123691374051071,-0.002271675332059331,0.09048106705159831,0.09048106705159831,0.09048106705159831,0.6602033540879683,-0.8390024410053158,1.0,0.2512765315305428,-0.24446708393659883,-0.23400349071615867,0.005828498656226227,,-0.013403184055692623
RINTERNATIONALMIG2021,-0.05466453944087903,-0.009980240399308619,0.0010131253632243522,0.0007696531658767602,0.07544596996562197,0.09243781061016296,0.09242548608117156,0.09226326539164025,-0.007121127710966851,-0.024348868217953495,0.09186789442942044,0.09151373153216241,0.08840569212990461,0.08924219546404032,0.058007709292290634,0.05463696571082224,0.18886167181554261,0.18653906801683184,-0.033892432474696046,-0.05345699852107768,-0.027766453134962465,-0.03632179796186494,0.032396290808018945,-0.049101617766337334,0.0966227624550376,0.0966227624550376,0.0966227624550376,0.08804309570885305,-0.2672207126266052,0.2512765315305428,1.0,-0.17253632453242443,-0.12509128194911287,-0.011613816909535134,,-0.005349970733338777
RDOMESTICMIG2021,0.031033046229824068,0.15238298980508316,0.10443725294724203,0.059001181459639326,-0.04131882108713973,-0.058005500425360464,-0.05777504957882787,-0.05621935854927347,0.1321078080298637,0.16884074368351765,-0.061221240876646585,-0.06005800058731062,-0.051477563678726086,-0.051563864237652135,-0.0671422718144293,-0.06371337648591038,-0.0479395982348366,-0.07380797237956122,0.1557216640258409,0.18383632922380766,0.15267753512028748,0.17728007677938096,-0.04663676977211356,0.01190936681908849,-0.0703153465033846,-0.0703153465033846,-0.0703153465033846,-0.36345706792818566,0.058726040638137605,-0.24446708393659883,-0.17253632453242443,1.0,0.9988489793048418,0.05602344544816846,,0.0013653832027740909
RNETMIG2021,0.02859611290480104,0.15300189303162912,0.10524384397122803,0.059466467540941564,-0.03794449402796553,-0.053924729579568835,-0.05369320793143221,-0.05213413637567053,0.13271892710350033,0.16887928338492791,-0.05719153946762542,-0.0560371110738149,-0.047545808268595925,-0.04759200015028484,-0.06480436076654453,-0.06151474510766124,-0.039090377998994764,-0.06525942076874607,0.1552003455358032,0.18256614760258683,0.1524324553316079,0.17679677391636478,-0.04539735249886002,0.009604663560864353,-0.06612004142475345,-0.06612004142475345,-0.06612004142475345,-0.36180507697446,0.046139253422270744,-0.23400349071615867,-0.12509128194911287,0.9988489793048418,1.0,0.055863220464713495,,0.0011147213619222664
UID,0.005060625383451898,-0.013248287610737151,-0.03486845293914765,0.9816237804418781,0.09609513850089996,-0.04206037979859438,-0.04202657864258872,-0.04190482318234497,0.01939828276697479,0.016141267011270242,-0.038584135470144346,-0.03985443589582453,-0.04274876340330433,-0.0431745947149172,-0.0028401111584890238,-0.006653480018094745,-0.019375084603595952,-0.032465061222795286,0.020664900359148964,0.01989375545960971,0.019862424267599155,0.016926080025173852,-0.0011078249398687341,0.017265268991766617,-0.04184828314478559,-0.04184828314478559,-0.04184828314478559,-0.0520925824392138,-0.045449883871930365,0.005828498656226227,-0.011613816909535134,0.05602344544816846,0.055863220464713495,1.0,0.9999111780046724,0.001080444318421216
code3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999111780046724,1.0,0.001212404447522618
first_year_cases,-0.0106149037567215,0.06374545491731821,0.058349379447843276,-0.022621730658808795,-0.05220911899521955,0.019739941945262126,0.01974475047184099,0.019717749682290644,0.0027433595225841473,-0.004393106939296592,0.019565029995867473,0.01991032927455189,0.01923706825855364,0.01935965402795943,0.010786206051006605,0.012112199762952027,0.01872294081044852,0.024702900638266058,-0.0017986152560077392,-0.009350158892928683,-0.0012070921769987066,-0.007084083856589667,0.005854674961589592,-0.011478215550194295,0.014557934446247154,0.014557934446247154,0.014557934446247154,-0.05055627271288611,-0.019001151813836395,-0.013403184055692623,-0.005349970733338777,0.0013653832027740909,0.0011147213619222664,0.001080444318421216,0.001212404447522618,1.0
