GEO_ID,STATE,COUNTY,NAME,POPUNI,PRED0_E,PRED0_M,PRED0_PE,PRED0_PM,PRED12_E,PRED12_M,PRED12_PE,PRED12_PM,PRED3_E,PRED3_M,PRED3_PE,PRED3_PM
0500000US05027,05,027,"Columbia County, Arkansas",21610,5540,2183,25.64,10.10,9797,2474,45.34,11.45,6273,2289,29.03,10.59
0500000US05029,05,029,"Conway County, Arkansas",20766,5865,2179,28.24,10.49,9018,2395,43.43,11.54,5883,2126,28.33,10.24
0500000US05031,05,031,"Craighead County, Arkansas",107689,35655,10343,33.11,9.60,46497,10873,43.18,10.10,25537,8985,23.71,8.34
0500000US05033,05,033,"Crawford County, Arkansas",63132,17871,5982,28.31,9.48,27994,6387,44.34,10.12,17267,5364,27.35,8.50
0500000US05035,05,035,"Crittenden County, Arkansas",47304,13564,5165,28.67,10.92,19870,5595,42.00,11.83,13870,4895,29.32,10.35
0500000US05037,05,037,"Cross County, Arkansas",16365,4034,1696,24.65,10.36,7786,1894,47.58,11.57,4545,1718,27.77,10.49
0500000US05039,05,039,"Dallas County, Arkansas",6715,1726,746,25.70,11.11,2954,885,43.99,13.18,2035,860,30.31,12.80
0500000US05041,05,041,"Desha County, Arkansas",11361,2525,1176,22.23,10.35,4587,1384,40.37,12.18,4249,1319,37.40,11.61
0500000US05043,05,043,"Drew County, Arkansas",17565,4770,1864,27.16,10.61,7631,2087,43.44,11.88,5164,1907,29.40,10.86
0500000US05045,05,045,"Faulkner County, Arkansas",122137,45617,12528,37.35,10.26,53677,12976,43.95,10.62,22843,10347,18.70,8.47
0500000US05047,05,047,"Franklin County, Arkansas",17706,4567,1746,25.79,9.86,6906,1897,39.00,10.72,6233,1648,35.20,9.31
0500000US05049,05,049,"Fulton County, Arkansas",12470,1936,1255,15.53,10.07,4845,1388,38.85,11.13,5689,1248,45.62,10.00
0500000US05051,05,051,"Garland County, Arkansas",98872,25739,9342,26.03,9.45,47384,10153,47.92,10.27,25749,8852,26.04,8.95
0500000US05053,05,053,"Grant County, Arkansas",18202,6424,1849,35.29,10.16,7088,1997,38.94,10.97,4690,1714,25.77,9.42
0500000US05055,05,055,"Greene County, Arkansas",45082,15501,4552,34.38,10.10,18831,4740,41.77,10.51,10750,3823,23.85,8.48
0500000US05057,05,057,"Hempstead County, Arkansas",21481,5809,1966,27.04,9.15,9805,2283,45.64,10.63,5867,2128,27.31,9.90
0500000US05059,05,059,"Hot Spring County, Arkansas",31642,7811,3097,24.69,9.79,13622,3396,43.05,10.73,10209,2982,32.26,9.42
0500000US05061,05,061,"Howard County, Arkansas",13202,3798,1347,28.77,10.20,5512,1530,41.75,11.59,3892,1395,29.48,10.57
0500000US05063,05,063,"Independence County, Arkansas",37286,8552,3571,22.94,9.58,18218,3887,48.86,10.42,10516,3354,28.20,8.99
0500000US05065,05,065,"Izard County, Arkansas",12794,2644,1304,20.67,10.19,5898,1445,46.10,11.30,4252,1298,33.23,10.14
0500000US05067,05,067,"Jackson County, Arkansas",14680,3807,1409,25.93,9.60,5674,1567,38.65,10.67,5199,1415,35.42,9.64
0500000US05069,05,069,"Jefferson County, Arkansas",62033,15686,6409,25.29,10.33,26438,7219,42.62,11.64,19909,6636,32.09,10.70
0500000US05071,05,071,"Johnson County, Arkansas",26006,6574,2339,25.28,8.99,11389,2575,43.79,9.90,8043,2232,30.93,8.58
0500000US05073,05,073,"Lafayette County, Arkansas",6570,1075,671,16.36,10.22,2500,777,38.05,11.83,2995,742,45.59,11.30
0500000US05075,05,075,"Lawrence County, Arkansas",16024,4144,1595,25.86,9.95,7393,1733,46.14,10.81,4487,1516,28.00,9.46
0500000US05077,05,077,"Lee County, Arkansas",7185,1543,771,21.48,10.73,2920,940,40.64,13.08,2722,928,37.88,12.91
0500000US05079,05,079,"Lincoln County, Arkansas",9616,2256,1019,23.46,10.60,4069,1135,42.31,11.80,3291,1027,34.22,10.68
0500000US05081,05,081,"Little River County, Arkansas",12259,2742,1333,22.37,10.88,5624,1496,45.88,12.20,3893,1369,31.76,11.16
0500000US05083,05,083,"Logan County, Arkansas",21267,5281,1956,24.83,9.20,9408,2127,44.24,10.00,6578,1856,30.93,8.73
0500000US05085,05,085,"Lonoke County, Arkansas",73245,26274,7112,35.87,9.71,33094,7463,45.18,10.19,13877,6011,18.95,8.21
0500000US05087,05,087,"Madison County, Arkansas",16576,5544,1722,33.45,10.39,7040,1875,42.47,11.31,3992,1620,24.08,9.77
0500000US05089,05,089,"Marion County, Arkansas",16678,4703,1589,28.20,9.52,6682,1783,40.06,10.69,5293,1630,31.74,9.77
0500000US05091,05,091,"Miller County, Arkansas",42334,14350,4773,33.90,11.28,17654,5066,41.70,11.97,10330,4295,24.40,10.15
0500000US05093,05,093,"Mississippi County, Arkansas",40155,10336,4033,25.74,10.04,18730,4558,46.64,11.35,11089,4154,27.62,10.34
0500000US05095,05,095,"Monroe County, Arkansas",6679,1434,717,21.47,10.73,2497,838,37.39,12.55,2748,808,41.14,12.09
0500000US05097,05,097,"Montgomery County, Arkansas",8967,2122,927,23.66,10.34,3689,1034,41.14,11.53,3156,939,35.20,10.48
0500000US05099,05,099,"Nevada County, Arkansas",8239,1584,984,19.23,11.94,3475,1124,42.18,13.64,3180,1054,38.60,12.79
0500000US05101,05,101,"Newton County, Arkansas",7753,1872,806,24.15,10.40,3663,895,47.25,11.55,2218,808,28.61,10.42
0500000US05103,05,103,"Ouachita County, Arkansas",23313,6951,2253,29.82,9.66,9040,2601,38.78,11.16,7322,2461,31.41,10.56
0500000US05105,05,105,"Perry County, Arkansas",10443,3596,1064,34.43,10.19,4010,1157,38.40,11.08,2837,1006,27.17,9.63
0500000US05107,05,107,"Phillips County, Arkansas",17717,4429,1819,25.00,10.27,6254,2169,35.30,12.24,7034,2099,39.70,11.85
0500000US05109,05,109,"Pike County, Arkansas",10628,3274,1018,30.81,9.57,4842,1116,45.56,10.50,2512,981,23.64,9.23
0500000US05111,05,111,"Poinsett County, Arkansas",23441,5613,2297,23.95,9.80,11212,2502,47.83,10.67,6616,2181,28.22,9.30
0500000US05113,05,113,"Polk County, Arkansas",19943,4188,2069,21.00,10.37,9929,2294,49.79,11.50,5826,2049,29.21,10.27
0500000US05115,05,115,"Pope County, Arkansas",61211,19348,6086,31.61,9.94,25870,6446,42.26,10.53,15993,5358,26.13,8.75
0500000US05117,05,117,"Prairie County, Arkansas",8046,2139,822,26.58,10.21,3545,912,44.06,11.33,2362,828,29.36,10.29
0500000US05119,05,119,"Pulaski County, Arkansas",387868,131090,42075,33.80,10.85,162454,44638,41.88,11.51,94324,37830,24.32,9.75
0500000US05121,05,121,"Randolph County, Arkansas",17829,4826,1825,27.07,10.24,7266,1977,40.75,11.09,5737,1705,32.18,9.56
0500000US05123,05,123,"St. Francis County, Arkansas",21027,5110,1903,24.30,9.05,8396,2252,39.93,10.71,7521,2161,35.77,10.28
0500000US05125,05,125,"Saline County, Arkansas",121852,45677,11716,37.49,9.61,51817,12296,42.52,10.09,24358,9966,19.99,8.18
0500000US05127,05,127,"Scott County, Arkansas",10281,2673,1097,26.00,10.67,4182,1209,40.68,11.76,3426,1064,33.32,10.35
0500000US05129,05,129,"Searcy County, Arkansas",7870,1859,838,23.62,10.65,3763,928,47.81,11.79,2248,834,28.56,10.59
