,FIPS,Admin2,Province_State,3/31/21
558,13295,Walker,Georgia,6967
559,13297,Walton,Georgia,10176
560,13299,Ware,Georgia,4735
561,13301,Warren,Georgia,511
562,13303,Washington,Georgia,1993
563,13305,Wayne,Georgia,3454
564,13307,Webster,Georgia,141
565,13309,Wheeler,Georgia,617
566,13311,White,Georgia,3090
567,13313,Whitfield,Georgia,16397
568,13315,Wilcox,Georgia,815
569,13317,Wilkes,Georgia,1063
570,13319,Wilkinson,Georgia,913
571,13321,Worth,Georgia,1722
572,99999,,Grand Princess,103
574,15001,Hawaii,Hawaii,2517
575,15003,Honolulu,Hawaii,23463
576,15005,Kalawao,Hawaii,0
577,15007,Kauai,Hawaii,194
578,15009,Maui,Hawaii,3605
579,80015,Out of HI,Hawaii,975
580,90015,Unassigned,Hawaii,0
581,16001,Ada,Idaho,49189
582,16003,Adams,Idaho,333
583,16005,Bannock,Idaho,8414
584,16007,Bear Lake,Idaho,367
585,16009,Benewah,Idaho,646
586,16011,Bingham,Idaho,4658
587,16013,Blaine,Idaho,2266
588,16015,Boise,Idaho,322
589,16017,Bonner,Idaho,3098
590,16019,Bonneville,Idaho,14097
591,16021,Boundary,Idaho,843
592,16023,Butte,Idaho,205
593,16025,Camas,Idaho,71
594,16027,Canyon,Idaho,25587
595,16029,Caribou,Idaho,657
596,16031,Cassia,Idaho,2901
597,16033,Clark,Idaho,56
598,16035,Clearwater,Idaho,1029
599,16037,Custer,Idaho,242
600,16039,Elmore,Idaho,1772
601,16041,Franklin,Idaho,1147
602,16043,Fremont,Idaho,1083
603,16045,Gem,Idaho,1732
604,16047,Gooding,Idaho,1286
605,16049,Idaho,Idaho,1174
606,16051,Jefferson,Idaho,2816
607,16053,Jerome,Idaho,2535
608,16055,Kootenai,Idaho,17185
609,16057,Latah,Idaho,2917
610,16059,Lemhi,Idaho,516
611,16061,Lewis,Idaho,385
612,16063,Lincoln,Idaho,494
613,16065,Madison,Idaho,6867
614,16067,Minidoka,Idaho,2314
615,16069,Nez Perce,Idaho,3479
616,16071,Oneida,Idaho,347
617,80016,Out of ID,Idaho,0
618,16073,Owyhee,Idaho,1038
619,16075,Payette,Idaho,2453
620,16077,Power,Idaho,648
621,16079,Shoshone,Idaho,1047
622,16081,Teton,Idaho,1158
623,16083,Twin Falls,Idaho,9138
624,90016,Unassigned,Idaho,0
625,16085,Valley,Idaho,826
626,16087,Washington,Idaho,1198
627,17001,Adams,Illinois,8075
628,17003,Alexander,Illinois,456
629,17005,Bond,Illinois,1939
630,17007,Boone,Illinois,6112
631,17009,Brown,Illinois,680
632,17011,Bureau,Illinois,3421
633,17013,Calhoun,Illinois,504
634,17015,Carroll,Illinois,1641
635,17017,Cass,Illinois,1926
636,17019,Champaign,Illinois,19028
637,17021,Christian,Illinois,3411
638,17023,Clark,Illinois,1721
639,17025,Clay,Illinois,1456
640,17027,Clinton,Illinois,5672
641,17029,Coles,Illinois,5427
642,17031,Cook,Illinois,497885
643,17033,Crawford,Illinois,2063
644,17035,Cumberland,Illinois,1266
645,17039,De Witt,Illinois,1326
646,17037,DeKalb,Illinois,8651
647,17041,Douglas,Illinois,2517
648,17043,DuPage,Illinois,81889
649,17045,Edgar,Illinois,1633
650,17047,Edwards,Illinois,541
651,17049,Effingham,Illinois,4576
652,17051,Fayette,Illinois,3097
653,17053,Ford,Illinois,1640
654,17055,Franklin,Illinois,4264
655,17057,Fulton,Illinois,3300
656,17059,Gallatin,Illinois,451
657,17061,Greene,Illinois,1402
658,17063,Grundy,Illinois,5412
659,17065,Hamilton,Illinois,805
660,17067,Hancock,Illinois,1699
661,17069,Hardin,Illinois,360
662,17071,Henderson,Illinois,519
663,17073,Henry,Illinois,4507
664,17075,Iroquois,Illinois,2846
665,17077,Jackson,Illinois,4742
666,17079,Jasper,Illinois,1131
667,17081,Jefferson,Illinois,4070
668,17083,Jersey,Illinois,2558
669,17085,Jo Daviess,Illinois,1682
670,17087,Johnson,Illinois,1372
671,17089,Kane,Illinois,52886
672,17091,Kankakee,Illinois,13011
673,17093,Kendall,Illinois,11686
674,17095,Knox,Illinois,5135
675,17099,LaSalle,Illinois,11283
676,17097,Lake,Illinois,62242
677,17101,Lawrence,Illinois,2371
678,17103,Lee,Illinois,3714
679,17105,Livingston,Illinois,4412
680,17107,Logan,Illinois,3465
681,17115,Macon,Illinois,9879
682,17117,Macoupin,Illinois,4496
683,17119,Madison,Illinois,29202
684,17121,Marion,Illinois,4364
685,17123,Marshall,Illinois,919
686,17125,Mason,Illinois,1349
687,17127,Massac,Illinois,1307
688,17109,McDonough,Illinois,2427
689,17111,McHenry,Illinois,25586
690,17113,McLean,Illinois,15644
691,17129,Menard,Illinois,1138
692,17131,Mercer,Illinois,1320
693,17133,Monroe,Illinois,4202
694,17135,Montgomery,Illinois,3595
695,17137,Morgan,Illinois,3695
696,17139,Moultrie,Illinois,1530
697,17141,Ogle,Illinois,5416
698,80017,Out of IL,Illinois,1
699,17143,Peoria,Illinois,18587
700,17145,Perry,Illinois,3113
701,17147,Piatt,Illinois,1390
702,17149,Pike,Illinois,1734
703,17151,Pope,Illinois,302
704,17153,Pulaski,Illinois,673
705,17155,Putnam,Illinois,432
706,17157,Randolph,Illinois,4037
707,17159,Richland,Illinois,1682
708,17161,Rock Island,Illinois,13673
709,17165,Saline,Illinois,2432
710,17167,Sangamon,Illinois,16973
711,17169,Schuyler,Illinois,687
712,17171,Scott,Illinois,456
713,17173,Shelby,Illinois,2206
714,17163,St. Clair,Illinois,26612
715,17175,Stark,Illinois,554
716,17177,Stephenson,Illinois,4279
717,17179,Tazewell,Illinois,14468
718,90017,Unassigned,Illinois,86
719,17181,Union,Illinois,2225
720,17183,Vermilion,Illinois,8877
721,17185,Wabash,Illinois,1333
722,17187,Warren,Illinois,1687
723,17189,Washington,Illinois,1613
724,17191,Wayne,Illinois,1708
725,17193,White,Illinois,1652
726,17195,Whiteside,Illinois,6314
727,17197,Will,Illinois,68489
728,17199,Williamson,Illinois,7051
729,17201,Winnebago,Illinois,29299
730,17203,Woodford,Illinois,4013
731,18001,Adams,Indiana,3337
732,18003,Allen,Indiana,37782
733,18005,Bartholomew,Indiana,7704
734,18007,Benton,Indiana,930
735,18009,Blackford,Indiana,1301
736,18011,Boone,Indiana,6366
737,18013,Brown,Indiana,972
738,18015,Carroll,Indiana,1813
739,18017,Cass,Indiana,5618
740,18019,Clark,Indiana,12423
741,18021,Clay,Indiana,2471
742,18023,Clinton,Indiana,4064
743,18025,Crawford,Indiana,959
744,18027,Daviess,Indiana,2876
745,18033,DeKalb,Indiana,3975
746,18029,Dearborn,Indiana,5594
747,18031,Decatur,Indiana,2758
748,18035,Delaware,Indiana,10112
749,18037,Dubois,Indiana,6031
750,18039,Elkhart,Indiana,26316
751,18041,Fayette,Indiana,2753
752,18043,Floyd,Indiana,7421
753,18045,Fountain,Indiana,2059
754,18047,Franklin,Indiana,1631
755,18049,Fulton,Indiana,1865
756,18051,Gibson,Indiana,4202
757,18053,Grant,Indiana,6641
758,18055,Greene,Indiana,2670
759,18057,Hamilton,Indiana,33443
760,18059,Hancock,Indiana,7690
761,18061,Harrison,Indiana,4210
762,18063,Hendricks,Indiana,16354
763,18065,Henry,Indiana,5516
764,18067,Howard,Indiana,9424
765,18069,Huntington,Indiana,3670
766,18071,Jackson,Indiana,4798
767,18073,Jasper,Indiana,3325
768,18075,Jay,Indiana,1828
769,18077,Jefferson,Indiana,3013
770,18079,Jennings,Indiana,2225
771,18081,Johnson,Indiana,17048
772,18083,Knox,Indiana,3605
773,18085,Kosciusko,Indiana,8842
774,18087,LaGrange,Indiana,2467
775,18091,LaPorte,Indiana,10260
776,18089,Lake,Indiana,49981
777,18093,Lawrence,Indiana,4261
778,18095,Madison,Indiana,12066
