UID,code3,FIPS,Admin2,Province_State,3/31/21
84006083,840,6083,Santa Barbara,California,34256
84006085,840,6085,Santa Clara,California,115176
84006087,840,6087,Santa Cruz,California,16165
84006089,840,6089,Shasta,California,12728
84006091,840,6091,Sierra,California,64
84006093,840,6093,Siskiyou,California,1785
84006095,840,6095,Solano,California,31221
84006097,840,6097,Sonoma,California,29496
84006099,840,6099,Stanislaus,California,58621
84006101,840,6101,Sutter,California,9197
84006103,840,6103,Tehama,California,5305
84006105,840,6105,Trinity,California,375
84006107,840,6107,Tulare,California,57349
84006109,840,6109,Tuolumne,California,4011
84090006,840,90006,Unassigned,California,0
84006111,840,6111,Ventura,California,82319
84006113,840,6113,Yolo,California,13619
84006115,840,6115,Yuba,California,5802
84008001,840,8001,Adams,Colorado,51362
84008003,840,8003,Alamosa,Colorado,1347
84008005,840,8005,Arapahoe,Colorado,51970
84008007,840,8007,Archuleta,Colorado,748
84008009,840,8009,Baca,Colorado,278
84008011,840,8011,Bent,Colorado,1483
84008013,840,8013,Boulder,Colorado,20593
84008014,840,8014,Broomfield,Colorado,4187
84008015,840,8015,Chaffee,Colorado,1503
84008017,840,8017,Cheyenne,Colorado,125
84008019,840,8019,Clear Creek,Colorado,402
84008021,840,8021,Conejos,Colorado,460
84008023,840,8023,Costilla,Colorado,203
84008025,840,8025,Crowley,Colorado,2140
84008027,840,8027,Custer,Colorado,173
84008029,840,8029,Delta,Colorado,2542
84008031,840,8031,Denver,Colorado,64378
84008033,840,8033,Dolores,Colorado,67
84008035,840,8035,Douglas,Colorado,23752
84008037,840,8037,Eagle,Colorado,5738
84008041,840,8041,El Paso,Colorado,56607
84008039,840,8039,Elbert,Colorado,1421
84008043,840,8043,Fremont,Colorado,5647
84008045,840,8045,Garfield,Colorado,5414
84008047,840,8047,Gilpin,Colorado,188
84008049,840,8049,Grand,Colorado,1335
84008051,840,8051,Gunnison,Colorado,1252
84008053,840,8053,Hinsdale,Colorado,17
84008055,840,8055,Huerfano,Colorado,335
84008057,840,8057,Jackson,Colorado,52
84008059,840,8059,Jefferson,Colorado,40391
84008061,840,8061,Kiowa,Colorado,92
84008063,840,8063,Kit Carson,Colorado,586
84008067,840,8067,La Plata,Colorado,3330
84008065,840,8065,Lake,Colorado,699
84008069,840,8069,Larimer,Colorado,22286
84008071,840,8071,Las Animas,Colorado,1040
84008073,840,8073,Lincoln,Colorado,1005
84008075,840,8075,Logan,Colorado,3830
84008077,840,8077,Mesa,Colorado,13712
84008079,840,8079,Mineral,Colorado,86
84008081,840,8081,Moffat,Colorado,699
84008083,840,8083,Montezuma,Colorado,1798
84008085,840,8085,Montrose,Colorado,3328
84008087,840,8087,Morgan,Colorado,2535
84008089,840,8089,Otero,Colorado,1885
84008091,840,8091,Ouray,Colorado,275
84080008,840,80008,Out of CO,Colorado,0
84008093,840,8093,Park,Colorado,609
84008095,840,8095,Phillips,Colorado,350
84008097,840,8097,Pitkin,Colorado,2432
84008099,840,8099,Prowers,Colorado,1169
84008101,840,8101,Pueblo,Colorado,15830
84008103,840,8103,Rio Blanco,Colorado,523
84008105,840,8105,Rio Grande,Colorado,756
84008107,840,8107,Routt,Colorado,2069
84008109,840,8109,Saguache,Colorado,334
84008111,840,8111,San Juan,Colorado,44
84008113,840,8113,San Miguel,Colorado,849
84008115,840,8115,Sedgwick,Colorado,201
84008117,840,8117,Summit,Colorado,3392
84008119,840,8119,Teller,Colorado,1419
84090008,840,90008,Unassigned,Colorado,57
84008121,840,8121,Washington,Colorado,436
84008123,840,8123,Weld,Colorado,27476
84008125,840,8125,Yuma,Colorado,839
84009001,840,9001,Fairfield,Connecticut,89598
84009003,840,9003,Hartford,Connecticut,75802
84009005,840,9005,Litchfield,Connecticut,12872
84009007,840,9007,Middlesex,Connecticut,11552
84009009,840,9009,New Haven,Connecticut,80542
84009011,840,9011,New London,Connecticut,20674
84080009,840,80009,Out of CT,Connecticut,0
84009013,840,9013,Tolland,Connecticut,8614
84090009,840,90009,Unassigned,Connecticut,1089
84009015,840,9015,Windham,Connecticut,9881
84010001,840,10001,Kent,Delaware,15527
84010003,840,10003,New Castle,Delaware,55327
84080010,840,80010,Out of DE,Delaware,0
84010005,840,10005,Sussex,Delaware,23744
84090010,840,90010,Unassigned,Delaware,204
84088888,840,88888,,Diamond Princess,49
84011001,840,11001,District of Columbia,District of Columbia,44513
84080011,840,80011,Out of DC,District of Columbia,0
84090011,840,90011,Unassigned,District of Columbia,0
84012001,840,12001,Alachua,Florida,23378
84012003,840,12003,Baker,Florida,3360
84012005,840,12005,Bay,Florida,19387
84012007,840,12007,Bradford,Florida,2921
84012009,840,12009,Brevard,Florida,37190
84012011,840,12011,Broward,Florida,214599
84012013,840,12013,Calhoun,Florida,1658
84012015,840,12015,Charlotte,Florida,11556
84012017,840,12017,Citrus,Florida,10314
84012019,840,12019,Clay,Florida,17368
84012021,840,12021,Collier,Florida,32516
84012023,840,12023,Columbia,Florida,7846
84012027,840,12027,DeSoto,Florida,4076
84012029,840,12029,Dixie,Florida,1553
84012031,840,12031,Duval,Florida,92562
84012033,840,12033,Escambia,Florida,34845
84012035,840,12035,Flagler,Florida,6685
84012037,840,12037,Franklin,Florida,1295
84012039,840,12039,Gadsden,Florida,5537
84012041,840,12041,Gilchrist,Florida,1488
84012043,840,12043,Glades,Florida,925
84012045,840,12045,Gulf,Florida,1916
84012047,840,12047,Hamilton,Florida,1589
84012049,840,12049,Hardee,Florida,2903
84012051,840,12051,Hendry,Florida,4466
84012053,840,12053,Hernando,Florida,12385
84012055,840,12055,Highlands,Florida,7655
84012057,840,12057,Hillsborough,Florida,121553
84012059,840,12059,Holmes,Florida,2212
84012061,840,12061,Indian River,Florida,11729
84012063,840,12063,Jackson,Florida,6060
84012065,840,12065,Jefferson,Florida,1432
