FIPS,POPUNI,PRED0_PE,PRED12_PE,PRED3_PE,3/31/21,BEDS,dem_pct
30015,5630,34.76,43.09,22.15,5,82.0,33.42327150084317
30017,11162,33.33,45.54,21.13,16,90.0,25.83617747440273
30019,1690,39.7,39.59,20.71,7,54.0,19.230769230769237
30021,8250,35.89,41.6,22.51,30,96.0,19.93782383419689
30023,8730,28.85,41.9,29.24,14,87.0,52.38192598650583
30025,2843,32.25,52.69,15.05,2,40.0,10.92063492063492
30027,10951,29.04,50.26,20.7,29,90.0,22.990625480252035
30029,103480,36.96,45.66,17.38,82,231.0,33.82608115323011
30031,111527,41.79,44.18,14.02,58,90.0,52.190084391157946
30033,1258,34.82,43.48,21.7,2,24.0,5.043050430504305
30035,13720,15.66,48.02,36.33,41,39.0,64.26918283781377
30037,821,21.19,52.98,25.82,2,0.0,15.50695825049702
30039,3378,28.0,46.74,25.25,2,9.0,30.352045670789725
30041,16271,28.17,46.01,25.82,42,49.0,41.50654413812308
30043,12116,26.96,53.73,19.31,8,0.0,32.20463746779536
30045,2007,25.96,55.61,18.44,1,0.0,20.46130952380952
30047,30370,23.71,46.89,29.4,26,127.0,41.597497894863466
30049,68404,40.15,43.34,16.51,71,201.0,46.712409795338935
30051,2337,37.23,34.62,28.16,1,25.0,22.99168975069252
30053,19911,24.9,42.38,32.72,13,25.0,24.13382140120882
30055,1664,37.92,43.99,18.09,1,25.0,13.741134751773048
30057,8600,24.0,52.43,23.57,8,20.0,29.09479218005585
30059,1862,21.37,52.36,26.26,7,25.0,23.24324324324325
30061,4393,24.74,46.21,29.05,0,25.0,26.765509168942646
30063,116884,37.58,47.07,15.34,89,404.0,60.64340163647808
30065,4623,27.86,46.18,25.96,8,25.0,14.335300242971192
30067,16592,29.57,47.85,22.58,15,50.0,45.651046169808055
30069,487,38.19,44.56,17.25,1,0.0,11.20689655172414
30071,3954,41.15,34.85,24.0,16,6.0,17.46431570109152
30073,5903,34.71,37.73,27.56,3,79.0,30.150250417362276
30075,1682,26.46,51.61,21.94,6,0.0,13.556338028169016
30077,5263,21.39,52.5,26.11,7,16.0,23.655237496067947
30079,1077,19.59,47.91,32.5,2,22.0,16.93548387096774
30081,43751,29.34,47.76,22.9,30,37.0,30.739818290244504
30083,10803,40.59,43.0,16.41,15,118.0,15.091410831321143
30085,10953,17.92,38.04,44.04,52,67.0,47.547921334329104
30087,8907,21.83,47.46,30.72,44,55.0,31.77842565597668
30089,12025,24.07,48.52,27.41,11,44.0,23.878247179218054
30091,3308,38.57,40.69,20.74,5,97.0,28.27586206896552
30093,34294,35.61,43.15,21.24,82,98.0,55.69728802658377
30095,9642,30.45,46.7,22.85,13,23.0,20.195667365478688
30097,3737,22.21,56.17,21.62,7,50.0,22.444807849550287
30099,6147,38.95,42.8,18.25,5,40.0,27.37156836096765
30101,4208,27.88,47.96,24.17,10,25.0,22.0386974988202
30103,696,19.4,58.91,21.7,1,0.0,16.956521739130434
30105,7389,27.96,49.49,22.55,11,25.0,24.172729406242667
30107,2126,32.22,42.66,25.12,7,25.0,21.06741573033708
30109,969,27.97,46.75,25.28,6,0.0,12.876254180602006
30111,159326,41.0,41.45,17.54,246,590.0,36.60061321148638
31001,30408,38.7,40.46,20.84,38,161.0,28.852212025749896
31003,6292,43.48,37.89,18.63,6,37.0,12.615126988557074
31005,463,26.35,54.21,19.44,1,0.0,7.394366197183098
31007,745,35.17,33.15,31.68,0,0.0,10.48780487804878
31009,465,42.15,38.06,19.78,0,0.0,11.041009463722396
31011,5190,43.47,35.51,21.02,5,25.0,15.511345974510412
31013,10772,35.26,44.44,20.3,9,25.0,20.285659139162323
31015,1919,28.24,45.81,25.95,3,20.0,11.70858629661752
31017,2955,39.09,40.51,20.41,2,23.0,11.375818939845146
31019,47956,44.78,37.07,18.14,57,261.0,26.91932680486668
31021,6459,30.19,44.33,25.48,11,18.0,28.49102117394801
31023,7986,48.06,34.57,17.37,12,20.0,19.4086260560249
31025,26158,46.97,37.22,15.8,15,0.0,30.99319549856059
31027,8398,46.5,35.44,18.06,12,0.0,14.511609287429945
31029,3924,37.28,37.18,25.54,5,22.0,11.339688911189162
31031,5686,42.53,41.96,15.51,6,25.0,11.424196018376724
31033,8903,40.21,43.01,16.78,18,113.0,17.94333683105981
31035,6198,41.88,39.59,18.52,11,0.0,17.762788083192802
31037,10709,30.69,43.07,26.24,20,25.0,27.57600215227334
31039,8846,36.21,40.93,22.86,11,25.0,19.5461694001348
31041,10771,35.99,39.08,24.93,18,35.0,13.115301184715502
31043,19956,31.8,43.83,24.37,58,0.0,40.38857815719753
31045,7907,35.32,46.04,18.64,19,25.0,26.25576316428052
31047,23500,31.32,42.58,26.09,31,58.0,27.20636304205709
31049,1794,35.06,42.08,22.85,2,0.0,13.662790697674415
31051,5628,39.96,44.26,15.78,8,0.0,21.115796302302957
31053,35893,38.75,40.75,20.51,58,81.0,32.8513865844987
31055,563209,41.74,39.74,18.52,653,2494.0,54.68247069477834
31057,1693,30.36,44.89,24.75,4,14.0,10.51051051051051
31059,5364,39.99,35.18,24.83,10,20.0,22.11231652839821
31061,2978,36.6,38.45,24.95,4,14.0,16.009280742459396
31063,2514,42.92,38.19,18.89,1,0.0,13.125
31065,4674,33.23,44.39,22.38,4,20.0,15.340253748558249
31067,21488,37.86,42.47,19.67,19,25.0,30.58366461872064
31069,1837,30.32,41.64,28.03,1,10.0,13.472803347280337
31071,1969,34.54,36.01,29.46,3,0.0,12.372093023255816
31073,1990,38.19,40.15,21.66,5,0.0,19.230769230769237
31075,623,34.67,47.99,17.34,4,0.0,4.975124378109453
31077,2356,42.28,40.2,17.53,2,0.0,18.20349761526232
31079,61128,35.11,46.45,18.45,112,159.0,31.513087716419136
31081,9313,48.66,36.21,15.13,17,14.0,20.206036508223388
31083,3377,33.88,43.59,22.53,0,19.0,14.626556016597512
31085,922,32.65,50.98,16.38,0,0.0,6.367041198501873
31087,2758,35.71,41.77,22.52,4,0.0,11.91286589516678
31089,10063,36.11,41.7,22.19,16,43.0,12.389380530973453
31091,682,48.53,26.83,24.63,2,0.0,13.34841628959276
31093,6445,41.86,38.77,19.36,17,25.0,18.50899742930591
31095,7038,37.27,39.81,22.92,1,17.0,27.341227125941877
31097,4087,39.96,37.09,22.95,9,18.0,29.02646926873037
31099,6490,39.86,41.14,19.0,5,10.0,19.450610432852383
31101,8026,37.09,39.28,23.62,8,18.0,17.4839596700275
31103,806,32.75,38.59,28.66,0,0.0,9.262759924385634
31105,3626,24.43,52.81,22.75,7,12.0,14.300960512273212
31107,8326,36.42,38.9,24.68,12,23.0,19.267617628273364
31109,306291,42.83,39.3,17.87,169,984.0,52.72116906163712
31111,34691,38.72,41.37,19.91,52,116.0,21.581808616355875
31113,748,26.87,50.94,22.19,0,0.0,8.444444444444445
31115,664,31.48,42.62,25.9,0,0.0,16.519823788546255
31117,494,41.09,40.28,18.62,1,0.0,5.629139072847682
31119,34450,39.16,43.81,17.03,42,131.0,22.06152870282271
31121,7712,37.4,38.62,23.99,15,20.0,17.453605825698848
31123,4638,31.18,51.01,17.81,15,20.0,15.09581540868205
31125,3519,40.47,40.01,19.52,10,19.0,19.63894967177243
31127,6577,34.33,49.63,16.04,14,16.0,26.906222611744084
31129,4148,33.27,41.3,25.43,1,25.0,17.7594442032132
31131,16001,45.16,35.15,19.69,9,54.0,29.94588093806374
31133,2613,28.43,39.46,32.11,1,11.0,22.533240027991603
31135,2891,51.12,30.23,18.64,11,20.0,12.888601036269431
31137,8986,47.37,32.03,20.6,9,25.0,15.01297664204432
31139,7136,46.29,36.18,17.53,20,40.0,11.982026959560658
31141,33271,40.2,36.65,23.14,47,51.0,20.80010208639061
31143,5212,44.03,42.88,13.09,9,16.0,18.409169850642584
31145,10409,34.74,40.57,24.69,14,25.0,14.87527512839325
31147,7859,37.63,36.14,26.24,18,24.0,24.139602520601063
31149,1357,40.01,40.09,19.9,2,24.0,9.988109393579071
31151,13510,34.0,44.13,21.87,3,43.0,34.41941074523397
31153,186885,49.66,37.03,13.3,123,176.0,43.06962256854076
31155,21466,44.67,39.49,15.84,16,16.0,26.156262269336477
31157,35324,35.28,40.57,24.15,93,166.0,27.125218178292062
31159,16159,50.9,35.24,13.86,30,24.0,26.668125136731568
31161,5238,34.86,44.48,20.66,19,25.0,12.724550898203594
31163,3001,36.72,38.89,24.39,4,0.0,20.200235571260304
31165,1166,29.93,48.28,21.78,0,0.0,9.876543209876544
31167,5920,50.32,32.33,17.35,9,0.0,16.83011705156596
31169,5000,40.04,40.48,19.48,4,19.0,20.93959731543624
31171,722,43.49,39.89,16.62,1,0.0,10.53864168618267
31173,7217,20.48,45.93,33.59,11,21.0,48.25806451612903
31175,4153,24.08,52.66,23.26,3,16.0,17.60683760683761
31177,20706,43.24,39.65,17.11,22,25.0,28.63127366470636
31179,8415,41.83,40.86,17.31,7,25.0,24.333333333333336
31181,3482,41.21,35.9,22.89,4,13.0,17.857142857142858
31183,783,44.19,34.1,21.71,0,0.0,11.752988047808763
31185,13057,38.91,43.6,17.49,9,38.0,22.81954360912782
32001,24866,31.57,45.44,22.98,49,40.0,23.662759102554148
32003,2252468,28.89,48.09,23.02,4108,5533.0,53.66375675197571
32005,48764,30.33,48.36,21.31,35,23.0,33.91271213764399
32007,52230,35.73,46.28,17.99,53,75.0,20.74509268114952
32009,872,23.97,46.33,29.7,0,0.0,15.0
32011,2028,31.41,49.9,18.69,0,0.0,10.317460317460316
32013,16689,27.96,45.63,26.41,13,67.0,21.734654484622315
32015,5532,32.65,48.17,19.18,9,30.0,17.93851717902351
32017,4907,29.47,51.38,19.16,2,20.0,13.49141455437449
32019,57249,28.96,48.79,22.26,62,63.0,28.026067683350423
32021,4476,18.7,53.49,27.82,7,35.0,35.41039965620971
32023,45540,21.82,42.63,35.54,100,69.0,28.71610970996217
32027,4940,20.1,56.15,23.74,20,38.0,23.57758620689655
32029,4118,37.42,48.52,14.06,3,0.0,31.380753138075317
32031,468182,34.23,47.16,18.61,660,1727.0,50.82315959929512
32033,8338,29.19,45.74,25.07,6,12.0,19.61952784781114
32510,53470,30.03,47.07,22.91,122,211.0,42.82255623928175
33001,61133,36.02,43.7,20.28,95,137.0,44.005105363236176
33003,48855,30.19,48.59,21.22,7,50.0,50.115890551157406
33005,72673,38.7,43.69,17.61,32,169.0,57.71596562641339
33007,29810,33.45,43.26,23.29,38,66.0,46.2609748713291
33009,83682,36.31,46.1,17.59,21,506.0,61.48315606122373
33011,413440,44.18,40.15,15.67,605,1109.0,52.97630130639427
33013,146496,41.74,41.44,16.82,110,395.0,54.042647959467736
33015,309629,49.35,37.16,13.5,227,517.0,50.334510407549374
33017,122697,44.4,39.62,15.98,76,301.0,56.68922224033916
33019,43016,36.67,45.39,17.94,22,25.0,50.82034454470877
34001,260349,36.57,41.48,21.95,618,1343.0,52.70832887003593
34003,927387,38.83,42.22,18.95,2740,2762.0,57.67219455923074
34005,437309,43.93,39.64,16.43,792,750.0,59.11922507715194
34007,503903,35.42,43.42,21.16,1222,1870.0,66.15813102760227
34009,91718,33.95,42.76,23.29,194,242.0,41.48213605017846
34011,141354,32.07,41.75,26.18,404,335.0,52.464427637482366
34013,786809,28.51,43.66,27.83,2796,4279.0,77.26947592170536
34015,289133,47.75,37.28,14.97,578,541.0,50.21719740058151
34017,667097,24.29,49.17,26.54,2125,1704.0,72.62437462477487
34019,122302,51.41,35.81,12.78,169,184.0,46.83768191638375
34021,351838,37.33,40.46,22.21,908,944.0,69.38234694570905
