FIPS,POPUNI,PRED0_PE,PRED12_PE,PRED3_PE
9013,137010,48.63,38.17,13.2
9015,113717,38.03,43.48,18.49
10001,177475,37.23,40.93,21.84
10003,545835,40.22,41.15,18.63
10005,232793,27.09,45.92,26.99
11001,678072,34.94,42.69,22.37
12001,257036,35.49,43.61,20.9
12003,27126,36.35,42.25,21.4
12005,172800,33.92,44.38,21.7
12007,24248,26.96,43.15,29.89
12009,598624,33.31,45.64,21.05
12011,1945390,29.13,48.13,22.74
12013,12645,29.47,40.7,29.83
12015,187410,23.11,47.68,29.21
12017,148865,23.98,44.08,31.94
12019,218707,39.2,44.84,15.96
12021,383327,23.31,50.32,26.37
12023,67063,26.13,47.61,26.26
12027,35211,19.97,46.11,33.92
12029,15127,24.0,47.29,28.71
12031,948277,35.88,43.8,20.32
12033,309608,32.94,44.38,22.68
12035,114779,27.5,46.9,25.61
12037,10429,26.35,42.62,31.03
12039,43265,23.03,41.85,35.12
12041,17577,20.87,44.89,34.24
12043,12345,14.99,47.28,37.73
12045,13362,23.55,46.34,30.11
12047,11800,22.48,39.95,37.57
12049,25691,19.8,49.39,30.81
12051,41832,19.78,45.92,34.29
12053,192899,29.57,45.6,24.82
12055,105776,21.01,46.29,32.7
12057,1458048,34.72,44.55,20.73
12059,18092,23.61,41.84,34.55
12061,159270,26.9,45.47,27.63
12063,40622,26.53,43.47,29.99
12065,13114,26.37,39.87,33.76
12067,7219,23.02,49.58,27.4
12069,364949,30.99,45.63,23.39
12071,765912,27.61,48.04,24.35
12073,281240,36.31,43.91,19.79
12075,41380,23.12,47.58,29.3
12077,6358,32.07,39.75,28.18
12079,16705,20.18,48.24,31.58
12081,401548,28.29,46.67,25.04
12083,358082,27.67,46.22,26.11
12085,158362,30.08,45.52,24.4
12086,2691583,23.32,48.39,28.29
12087,73755,26.22,48.32,25.46
12089,88426,31.99,44.63,23.39
12091,208789,37.5,43.79,18.71
12093,39467,23.36,49.97,26.67
12095,1371554,34.72,45.2,20.08
12097,373936,29.72,46.4,23.89
12099,1484379,28.51,46.26,25.23
12101,550758,32.7,44.8,22.5
12103,968898,32.41,43.72,23.87
12105,714460,28.77,46.98,24.25
12107,73686,26.79,44.19,29.03
12109,262951,39.18,43.25,17.57
12111,326689,32.07,45.05,22.88
12113,178869,36.56,44.51,18.93
12115,431171,25.66,49.53,24.81
12117,470885,37.85,43.8,18.35
12119,124500,11.44,55.0,33.56
12121,42303,26.87,46.01,27.12
12123,19252,27.91,50.48,21.61
12125,10427,28.47,45.29,26.24
12127,543420,29.11,46.75,24.14
12129,30512,38.35,40.08,21.57
12131,72312,27.42,49.94,22.64
12133,22923,27.64,46.48,25.88
13001,18086,24.02,40.73,35.25
13003,8153,25.51,40.75,33.74
13005,10955,24.12,49.62,26.26
13007,3038,18.73,36.31,44.96
13009,39694,28.29,42.88,28.83
13011,19234,32.37,42.29,25.34
13013,83145,38.47,42.27,19.27
13015,107085,36.08,41.87,22.05
13017,16607,24.54,39.02,36.44
13019,19305,26.99,43.06,29.95
13021,147863,30.53,43.05,26.43
13023,11593,26.03,45.36,28.6
13025,19086,34.39,46.95,18.67
13027,15412,23.36,49.44,27.2
13029,39627,41.67,41.05,17.28
13031,73388,33.07,45.45,21.48
13033,22257,27.84,46.95,25.21
13035,22164,28.02,44.45,27.53
13037,4548,18.43,49.41,32.17
13039,54527,35.15,42.98,21.87
13043,10794,21.97,39.33,38.71
13045,116302,36.39,42.89,20.72
13047,67385,37.56,40.91,21.53
13049,10961,22.87,39.12,38.01
13051,278031,33.75,42.65,23.6
13053,10907,25.9,58.0,16.1
13055,23699,27.21,43.91,28.87
13057,257554,44.74,39.88,15.39
13059,118625,35.15,41.59,23.27
13061,2834,17.64,39.1,43.26
13063,288053,29.03,48.07,22.9
13065,6618,29.72,39.5,30.78
13067,752942,43.36,40.78,15.86
13069,40163,24.96,44.95,30.09
13071,45165,28.19,41.98,29.82
13073,156379,46.24,38.95,14.81
13075,17270,22.98,48.79,28.23
13077,148072,41.47,42.15,16.38
13079,12380,25.29,47.44,27.27
13081,22084,27.14,41.63,31.23
13083,15209,28.18,42.22,29.6
13085,25999,34.12,46.02,19.86
13087,25597,23.19,43.27,33.55
13089,750698,37.37,42.01,20.62
13091,19024,28.35,44.59,27.06
13093,11597,20.02,49.29,30.69
13095,84944,25.83,39.39,34.78
13097,145499,42.03,42.02,15.95
13099,10153,21.14,39.08,39.78
13101,4006,23.36,47.53,29.11
13103,63794,35.38,45.31,19.31
13105,19094,25.33,41.1,33.57
13107,21622,26.8,44.23,28.98
13109,10256,23.85,40.89,35.26
13111,26124,22.08,45.48,32.45
13113,114181,41.07,44.33,14.6
13115,95661,30.77,45.51,23.72
13117,243954,52.37,36.06,11.57
13119,22725,29.11,40.67,30.22
13121,1037719,41.35,40.43,18.22
13123,31369,24.91,50.1,24.99
13125,2971,36.08,38.91,25.01
13127,84684,29.53,44.33,26.13
13129,57511,32.19,45.17,22.64
13131,24520,25.77,42.63,31.6
13133,18254,24.21,44.38,31.4
13135,932893,39.76,42.3,17.94
13137,43205,30.06,43.66,26.29
13139,202798,34.9,44.29,20.81
13141,7272,18.3,41.23,40.47
