FIPS,AREA_SQMI,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP
40119,684.710874,81512,36058,30485,19412,1889,23589,3603,9633,15714,9378,2129,18755,469,4095,3588,961,1705,7961,9710,84619
40135,673.2767208,41359,19180,15376,9428,1373,20020,5432,7450,9651,9445,1648,15282,270,290,4245,756,920,378,7791,33961
41051,431.1055765,798647,342746,321968,118644,25413,36868,50422,100763,154507,101426,24144,239842,35683,81610,6324,11692,40966,18522,56491,792770
42027,1109.8616936,161443,66312,57908,26301,3409,29432,5538,21423,24494,15018,2377,23422,1269,11518,3320,1356,5743,18149,8550,169104
42053,427.2697122,7351,8421,1631,467,58,15360,1062,1626,748,927,26,2833,96,78,1615,15,89,4098,112,6935
44007,409.4857742,634533,265991,238171,98661,22452,30356,65533,93384,131959,86396,27251,244090,40148,37683,1067,5542,29608,26030,39762,582797
45031,560.6363848,67253,30677,26592,14659,3486,21587,8271,11912,15238,12533,2643,30352,382,596,9036,501,2768,1289,7524,55775
45079,757.3173571,408263,171000,150309,61617,14248,29010,22729,48691,88281,50737,17852,233352,4540,23639,9422,2377,10567,30686,35526,426141
46005,1258.7082853,18374,8482,7770,3263,162,26316,1813,3041,4869,2022,729,4125,1313,633,374,370,275,634,1193,17545
46027,412.0304539,13925,5948,5223,2974,473,26230,286,1608,2397,1438,372,1712,69,671,759,7,191,2245,1031,14425
46085,1642.1458155,3869,1746,1404,840,126,22097,237,593,1113,399,167,1700,5,44,201,77,87,62,658,3039
47027,236.5362412,7686,4329,3173,2026,126,19512,1084,1842,1529,1423,243,428,0,108,1193,66,155,110,844,6154
47067,222.3237505,6585,3601,2809,1647,211,20578,1134,1319,1340,1743,215,201,22,14,851,43,236,175,748,5247
47069,667.7435657,25562,10961,8907,4521,1229,17352,3806,4480,4985,4217,888,11632,98,133,2364,83,625,3920,2385,22042
47091,298.4399282,17789,9005,6858,3713,229,19784,2772,3902,2963,3749,254,1293,28,98,1840,72,460,1929,1707,14003
47135,414.7453437,7912,4647,3317,2347,254,28270,1439,1613,1750,1491,236,616,0,30,1516,110,176,150,1139,7086
47137,162.9787253,5088,3487,2218,862,88,23250,906,1349,945,1067,77,57,10,43,1042,39,98,86,319,3868
47151,532.3003567,21954,9988,8703,4799,815,19179,3160,3562,5359,5608,1034,584,24,273,2478,60,511,353,2575,19646
47157,763.5744639,937005,404284,350260,189641,36236,28828,72057,118566,236247,116075,44940,598831,16598,46441,3756,8063,31081,17596,111735,928933
47175,273.4152035,5704,2683,2163,1060,288,19560,855,1262,1066,1406,69,228,0,2,585,53,139,103,808,4496
48005,797.7815857,87607,36716,30783,15533,3085,22322,10826,13627,22693,15748,3717,34391,3586,1576,7227,1494,1651,3040,16430,82928
48029,1240.213942,1925865,688615,632574,307665,54352,26988,197870,223805,499124,265021,70147,1386430,107550,112332,18487,26689,45852,31172,286899,1676995
48041,585.5130227,219193,87713,79053,51009,4840,26539,15388,18907,45169,17846,6961,96326,9460,14858,5882,2638,4086,15701,28137,180208
48057,506.8388012,21807,11927,7604,3041,742,26596,2788,3669,5446,3830,846,12493,1168,377,1911,645,282,287,4092,21157
48087,918.4401047,2996,1449,1055,467,124,22880,479,542,726,404,118,1118,157,14,114,47,74,67,663,2672
48111,1503.1317974,7243,2934,2404,1001,147,26844,1348,751,2281,908,197,3588,1109,82,516,68,56,44,1796,7097
48155,704.3962382,1408,890,557,95,72,25636,236,379,262,282,19,313,31,0,93,5,27,35,182,922
48157,861.5814022,739342,242847,230381,57565,19664,39472,46214,74854,205484,55947,18845,490028,37059,19981,7750,7694,5052,5718,81767,511144
48173,900.2172668,1430,570,432,136,0,30902,253,173,338,76,16,626,207,0,61,21,0,0,290,1096
48191,883.4915756,3074,1929,1301,699,147,22846,503,709,714,613,136,1345,207,0,82,39,106,69,772,2595
48211,906.2856489,4061,1677,1323,564,102,26781,501,540,1302,509,143,1559,297,94,327,86,40,38,1080,3658
48219,908.3914048,23162,9342,7946,3496,783,23440,3447,3192,6091,3524,728,12214,982,328,1644,457,353,738,4231,24336
48225,1231.004463,22955,11663,8209,4872,181,18080,3295,4834,4481,3582,765,8770,434,116,2818,252,664,3175,2977,18911
