FIPS,POPUNI,PRED0_PE,PRED12_PE,PRED3_PE,3/31/21,BEDS,dem_pct,Agreeableness,Belief In Science,Collectivism,Conflict Awareness,Conscientiousness,Empathy,Employment Rate,Entrepreneurship,Extraversion,Gender Equality,Hopefulness,Income Per Capita,Neuroticism,Openness,Religiosity,Risk Taking,Selflessness,Tolerance,Work Ethic,AREA_SQMI
1109,31132,29.06,45.8,25.14,74,97.0,40.71960118488549,88.33771623,59.86912333,63.72632395,62.64633929,84.30211246,78.72133754,93.6,11.2012987,87.94972309,68.13358597,84.21660317,20180.0,76.30220232,76.40638878,76.46014783,64.7508359,76.6187755,68.12065521,68.33175613,672.067488
1111,22498,32.52,36.99,30.49,41,15.0,20.32850419857894,84.9094908,64.19494602,65.28738997,61.1378042,79.18178946,79.78751427,94.3,8.310249307,87.10636022,71.04290296,86.35733754,19584.0,79.28046436,78.57281781,75.22446283,71.31759068,78.42265053,65.87641765,68.96397173,580.5491197
1113,57670,32.79,41.18,26.03,36,70.0,52.64194289465047,85.70785304,59.6111451,69.70744785,59.01468308,86.46163589,81.30185502,94.4,10.4622871,87.72070026,67.4981017,85.13992565,20760.0,77.34545857,78.05737166,77.30605109,61.5809311,78.28228149,67.82281779,66.4945062,641.1523375
1115,88245,32.95,44.42,22.62,232,40.0,17.425350464661012,84.65571125,64.80495256,66.26212293,62.93510974,83.5616389,80.16017225,94.7,13.38661339,87.55902316,68.81371432,83.37275869,24474.0,78.7307962,78.94703576,74.81155038,59.61563187,76.93472147,69.51006401,65.4254501,631.6030046
1117,215942,42.66,40.06,17.28,232,252.0,28.941278816876903,85.83500582,67.92794336,66.66912299,59.67077186,83.93617616,79.13445167,95.6,14.54709058,88.74835402,70.42116233,82.43320768,34117.0,76.35003615,80.33850768,69.85500945,68.08059403,76.67060732,70.82515527,68.22842984,785.3750191
1119,11680,22.14,38.97,38.89,32,33.0,73.88332538547131,90.68846752,57.76473175,67.53056553,44.78159237,86.10984552,79.79830017,92.2,9.821428571,86.34219018,63.71374153,59.51875166,13929.0,76.60363554,78.80768764,78.49816468,68.69687305,77.9752401,65.14344037,73.37349167,903.8257529
1121,77874,27.11,42.05,30.84,167,285.0,36.83930123657572,85.95687296,61.13910468,69.92785758,66.9877924,84.49571903,81.14540064,93.2,7.752545027,86.82600104,70.36635796,82.71927191,20430.0,77.94422755,79.37232126,73.80795126,69.48526566,76.49951898,68.24601568,68.68617657,736.7818207
1123,40221,26.52,41.44,32.04,144,127.0,27.911962269544087,84.92282818,69.40945428,68.21147523,46.88788411,81.82313444,81.65899047,94.4,9.176788124,86.2459111,69.49175593,82.48973317,21410.0,80.00035387,77.73362459,74.73757217,66.15947293,75.98590673,69.86270715,67.65422129,716.5214703
1125,200924,34.92,40.83,24.25,434,787.0,41.88107172958346,87.5807577,72.1024636,62.5,67.0599349,83.12760546,78.33333333,94.2,10.34482759,90.06429277,68.86446886,85.64048187,23896.0,77.00522401,77.76830003,66.36728005,86.15384616,70.00792459,70.99537036,66.45238096,1320.8584957
1127,63156,29.52,40.11,30.38,274,267.0,15.508501764517163,84.76854539,61.89566285,71.56117296,45.71751448,82.28887067,80.84514374,92.4,9.3323217,85.6696218,69.34287643,80.20032213,20410.0,81.03459257,78.67057856,74.03513818,76.08098788,76.0959911,69.50175906,64.86598673,791.0017929
